Ward No.,Household,Total Population,Total Male,Total Female
1,470,1969,901,1068
2,511,2087,968,1119
3,282,1218,557,661
4,326,1432,647,785
5,385,1612,728,884
6,616,2657,1219,1438
Total,2590,10975,5020,5955
