Ward No.,Household,Total Population,Total Male,Total Female
1,261,1131,505,626
2,387,1762,855,907
3,826,3401,1510,1891
4,521,2318,1113,1205
5,402,1776,822,954
6,480,2095,1010,1085
7,379,1564,699,865
8,333,1423,658,765
9,820,3289,1447,1842
Total,4409,18759,8619,10140
