Ward No.,Household,Total Population,Total Male,Total Female
1,698,2692,1210,1482
2,967,3583,1539,2044
3,790,3028,1320,1708
4,301,1185,526,659
5,438,1779,827,952
6,656,2607,1148,1459
7,1958,7234,3309,3925
8,2042,7057,3193,3864
9,498,1932,826,1106
10,775,3093,1424,1669
11,1299,5166,2348,2818
Total,10422,39356,17670,21686
